wanted,position,positionid,from,start,end
Q102124845,"Minister of Commerce, Industry and Labour",Q109706396,Q97058993,2021-05-24,
Q102127891,Minister of Health,Q109706802,Q103625196,2021-05-24,
Q102304161,Minister of Communications and Information Technology,Q109706841,Q106513242,2021-05-24,
Q102305634,Minister of Justice and Courts Administration,Q109706464,Q106998729,2021-05-24,
Q102406339,Speaker of the Legislative Assembly,Q6597937,Q103648797,2021-05-24,
Q11041329,"Minister of Works, Transport and Infrastructure",Q109706324,Q97186497,2021-05-24,
Q16107028,"Minister of Women, Community, and Social Development",Q109706873,Q107010422,2021-05-24,
Q37450604,"Minister of Education, Sports and Culture",Q109706829,Q106998722,2021-05-24,
Q57723,Minister for Natural Resources and Environment,Q109706695,Q102969894,2021-05-24,2021-06-03
Q97703891,Minister of Police and Prisons,Q109706529,Q16731362,2021-05-24,
Q99263794,Minister of Agriculture,Q109706139,Q16734600,2021-05-24,
Q57723,Minister of Finance,Q96393323,Q102265909,2016-03-18,2021-04-09
Q5446290,"Minister of Women, Community, and Social Development",Q109706873,Q7814479,2011-03-18,2016-03-04
Q102406339,Speaker of the Legislative Assembly,Q6597937,Q7814479,2006-04-22,2011-03-18
