position,title
Q1258128,O le Ao o le Malo
Q1277355,Prime Minister
Q109706109,Deputy Prime Minister
Q109706139,Minister of Agriculture
Q109706396,"Minister of Commerce, Industry and Labour"
Q109706841,Minister of Communications and Information Technology
Q109706829,"Minister of Education, Sports and Culture"
Q96393323,Minister of Finance
Q19901424,Minister of Foreign Affairs
Q109706802,Minister of Health
Q109706464,Minister of Justice and Courts Administration
Q109706695,Minister for Natural Resources and Environment
Q109706529,Minister of Police and Prisons
Q109706699,Minister of Tourism
Q109706873,"Minister of Women, Community, and Social Development"
Q109706324,"Minister of Works, Transport and Infrastructure"
Q6597937,Speaker of the Legislative Assembly
Q109168661,Attorney General
Q109707129,Governor of the Central Bank
